Domain Code,Domain,Area Code (FAO),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","102.282304","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","101.807014","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","101.331725","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","100.856435","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","100.934845","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","101.013254","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","101.091664","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","101.107346","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","101.123027","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","101.138709","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","105.592123","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","105.550698","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","104.639349","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","105.550698","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","106.182428","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","106.254921","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","104.960393","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","106.296346","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","105.053599","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","105.643904","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","105.933878","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","107.300901","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","349.655224","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","356.773808","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","368.718552","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","374.147981","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","379.939372","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","388.505804","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","395.986351","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","406.724554","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","418.186682","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","433.992353","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","447.626253","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","465.603695","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","105.397807","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","105.183659","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","105.756246","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","106.699891","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","106.544909","X","International reliable sources","base year is 2015"
