Domain Code,Domain,Area Code (FAO),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","5300","Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","127.332419","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5300","Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","126.892531","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5300","Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","127.431336","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5400","Europe","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","108.187595","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5400","Europe","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","108.743671","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5400","Europe","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","109.042155","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5400","Europe","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","110.147862","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5400","Europe","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","110.441784","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5400","Europe","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","110.149836","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5400","Europe","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","109.177963","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5400","Europe","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","108.913736","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","5400","Europe","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","108.479098","A","Aggregate, may include official, semi-official, estimated or calculated data",""
