Domain Code,Domain,Area Code (FAO),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","7","Angola","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","269.074864","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","277.557354","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","284.747133","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","291.249865","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","297.44509","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","303.610068","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","309.773353","","Official data","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","316.30957","","Official data","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","322.598227","","Official data","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","330.372845","","Official data","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","103.664038","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","103.9638","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","104.263561","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","104.886828","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","105.510094","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","106.13336","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","105.6021","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","105.07084","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","104.539579","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","104.13594","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","103.732301","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","103.328662","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","108.591328","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","109.55428","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","108.189216","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","108.051652","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","107.765941","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","108.21038","X","International reliable sources","base year is 2015"
