Record Date,Country,Currency,Country - Currency Description,Exchange Rate,Effective Date,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2020-12-31,Ecuador,Dolares,Ecuador-Dolares,1.0,null,48,2021,1,2020,4,12,31
2020-12-31,Egypt,Pound,Egypt-Pound,15.69,null,49,2021,1,2020,4,12,31
2020-12-31,El Salvador,Dollar,El Salvador-Dollar,1.0,null,50,2021,1,2020,4,12,31
2020-12-31,Equatorial Guinea,CFA Franc,Equatorial Guinea-CFA Franc,529.26,null,51,2021,1,2020,4,12,31
2020-12-31,Eritrea,Nakfa,Eritrea-Nakfa,15.0,null,52,2021,1,2020,4,12,31
2020-12-31,Ethiopia,Birr,Ethiopia-Birr,39.181,null,53,2021,1,2020,4,12,31
2020-12-31,Euro Zone,Euro,Euro Zone-Euro,0.815,null,54,2021,1,2020,4,12,31
2020-12-31,Fiji,Dollar,Fiji-Dollar,2.004,null,55,2021,1,2020,4,12,31
2020-12-31,Gabon,CFA Franc,Gabon-CFA Franc,529.26,null,56,2021,1,2020,4,12,31
2020-12-31,Gambia,Dalasi,Gambia-Dalasi,52.0,null,57,2021,1,2020,4,12,31
2020-12-31,Georgia,Lari,Georgia-Lari,3.27,null,58,2021,1,2020,4,12,31
2020-12-31,Ghana,Cedi,Ghana-Cedi,5.81,null,59,2021,1,2020,4,12,31
2020-12-31,Grenada,E.Caribbean Dollar,Grenada-E.Caribbean Dollar,2.7,null,60,2021,1,2020,4,12,31
2020-12-31,Guatemala,Quetzal,Guatemala-Quetzal,7.78,null,61,2021,1,2020,4,12,31
2020-12-31,Guinea,Franc,Guinea-Franc,9990.0,null,63,2021,1,2020,4,12,31
2020-12-31,Guinea Bissau,CFA Franc,Guinea Bissau-CFA Franc,529.0,null,62,2021,1,2020,4,12,31
2020-12-31,Guyana,Dollar,Guyana-Dollar,215.0,null,64,2021,1,2020,4,12,31
2020-12-31,Haiti,Gourde,Haiti-Gourde,71.606,null,65,2021,1,2020,4,12,31
2020-12-31,Honduras,Lempira,Honduras-Lempira,25.0,null,66,2021,1,2020,4,12,31
2020-12-31,Hong Kong,Dollar,Hong Kong-Dollar,7.753,null,67,2021,1,2020,4,12,31
2020-12-31,Hungary,Forint,Hungary-Forint,296.76,null,68,2021,1,2020,4,12,31
2020-12-31,Iceland,Krona,Iceland-Krona,127.11,null,69,2021,1,2020,4,12,31
2020-12-31,India,Rupee,India-Rupee,73.034,null,70,2021,1,2020,4,12,31
2020-12-31,Indonesia,Rupiah,Indonesia-Rupiah,14028.0,null,71,2021,1,2020,4,12,31
2020-12-31,Iran,Rial,Iran-Rial,42000.0,null,72,2021,1,2020,4,12,31
2020-12-31,Iraq,Dinar,Iraq-Dinar,1458.0,null,73,2021,1,2020,4,12,31
2020-12-31,Israel,Shekel,Israel-Shekel,3.213,null,74,2021,1,2020,4,12,31
2020-12-31,Jamaica,Dollar,Jamaica-Dollar,150.0,null,75,2021,1,2020,4,12,31
2020-12-31,Japan,Yen,Japan-Yen,103.08,null,76,2021,1,2020,4,12,31
2020-12-31,Jordan,Dinar,Jordan-Dinar,0.708,null,77,2021,1,2020,4,12,31
2020-12-31,Kazakhstan,Tenge,Kazakhstan-Tenge,421.27,null,78,2021,1,2020,4,12,31
2020-12-31,Kenya,Shilling,Kenya-Shilling,109.1,null,79,2021,1,2020,4,12,31
2020-12-31,Korea,Won,Korea-Won,1087.66,null,80,2021,1,2020,4,12,31
2020-12-31,Kuwait,Dinar,Kuwait-Dinar,0.304,null,81,2021,1,2020,4,12,31
2020-12-31,Kyrgyzstan,Som,Kyrgyzstan-Som,82.65,null,82,2021,1,2020,4,12,31
2020-12-31,Laos,Kip,Laos-Kip,9280.0,null,83,2021,1,2020,4,12,31
2020-12-31,Lebanon,Pound,Lebanon-Pound,1500.0,null,84,2021,1,2020,4,12,31
2020-12-31,Lesotho,Maloti,Lesotho-Maloti,14.673,null,85,2021,1,2020,4,12,31
2020-12-31,Liberia,Dollar,Liberia-Dollar,4.451,null,86,2021,1,2020,4,12,31
2020-12-31,Libya,Dinar,Libya-Dinar,1.333,null,87,2021,1,2020,4,12,31
2020-12-31,Madagascar,Ariary,Madagascar-Ariary,3824.8,null,88,2021,1,2020,4,12,31
2020-12-31,Malawi,Kwacha,Malawi-Kwacha,820.0,null,89,2021,1,2020,4,12,31
2020-12-31,Malaysia,Ringgit,Malaysia-Ringgit,4.02,null,90,2021,1,2020,4,12,31
2020-12-31,Maldives,Rufiyaa,Maldives-Rufiyaa,15.42,null,91,2021,1,2020,4,12,31
2020-12-31,Mali,CFA Franc,Mali-CFA Franc,529.0,null,92,2021,1,2020,4,12,31
2020-12-31,Marshall Islands,U.S. Dollar,Marshall Islands-U.S. Dollar,1.0,null,93,2021,1,2020,4,12,31
2020-12-31,Mauritania,Ouguiya,Mauritania-Ouguiya,37.0,null,94,2021,1,2020,4,12,31
2020-12-31,Mauritius,Rupee,Mauritius-Rupee,39.55,null,95,2021,1,2020,4,12,31
2020-12-31,Mexico,Peso,Mexico-Peso,19.913,null,96,2021,1,2020,4,12,31
2020-12-31,Micronesia,U.S. Dollar,Micronesia-U.S. Dollar,1.0,null,97,2021,1,2020,4,12,31
2020-12-31,Moldova,LEU,Moldova-LEU,17.08,null,98,2021,1,2020,4,12,31
2020-12-31,Mongolia,Tugrik,Mongolia-Tugrik,2849.77,null,99,2021,1,2020,4,12,31
2020-12-31,Morocco,Dirham,Morocco-Dirham,8.917,null,100,2021,1,2020,4,12,31
2020-12-31,Mozambique,Metical,Mozambique-Metical,74.2,null,101,2021,1,2020,4,12,31
2020-12-31,Nambia,Dollar,Nambia-Dollar,14.673,null,102,2021,1,2020,4,12,31
2020-12-31,Nepal,Rupee,Nepal-Rupee,117.0,null,103,2021,1,2020,4,12,31
2020-12-31,Netherlands Antilles,Guilder,Netherlands Antilles-Guilder,1.78,null,104,2021,1,2020,4,12,31
2020-12-31,New Zealand,Dollar,New Zealand-Dollar,1.383,null,105,2021,1,2020,4,12,31
2020-12-31,Nicaragua,Cordoba,Nicaragua-Cordoba,34.9,null,106,2021,1,2020,4,12,31
2020-12-31,Niger,CFA Franc,Niger-CFA Franc,529.0,null,107,2021,1,2020,4,12,31
2020-12-31,Nigeria,Naira,Nigeria-Naira,385.0,null,108,2021,1,2020,4,12,31
2020-12-31,Norway,Krone,Norway-Krone,8.53,null,109,2021,1,2020,4,12,31
2020-12-31,Oman,Rial,Oman-Rial,0.385,null,110,2021,1,2020,4,12,31
2020-12-31,Pakistan,Rupee,Pakistan-Rupee,159.75,null,111,2021,1,2020,4,12,31
2020-12-31,Panama,Balboa,Panama-Balboa,8.53,null,112,2021,1,2020,4,12,31
2020-12-31,Panama,Dolares,Panama-Dolares,1.0,null,113,2021,1,2020,4,12,31
2020-12-31,Papua New Guinea,Kina,Papua New Guinea-Kina,3.509,null,114,2021,1,2020,4,12,31
2020-12-31,Paraguay,Guarani,Paraguay-Guarani,6891.96,null,115,2021,1,2020,4,12,31
2020-12-31,Peru,Sol,Peru-Sol,3.619,null,116,2021,1,2020,4,12,31
2020-12-31,Philippines,Peso,Philippines-Peso,48.173,null,117,2021,1,2020,4,12,31
2020-12-31,Poland,Zloty,Poland-Zloty,3.713,null,118,2021,1,2020,4,12,31
2020-12-31,Qatar,Riyal,Qatar-Riyal,3.64,null,119,2021,1,2020,4,12,31
2020-12-31,Rep. of N Macedonia,Dinar,Rep. of N Macedonia-Dinar,50.13,null,120,2021,1,2020,4,12,31
2020-12-31,Republic of Palau,Dollar,Republic of Palau-Dollar,1.0,null,121,2021,1,2020,4,12,31
2020-12-31,Romania,New Leu,Romania-New Leu,3.966,null,122,2021,1,2020,4,12,31
2020-12-31,Russia,Ruble,Russia-Ruble,74.46,null,123,2021,1,2020,4,12,31
2020-12-31,Rwanda,Franc,Rwanda-Franc,950.0,null,124,2021,1,2020,4,12,31
2020-12-31,Sao Tome & Principe,New Dobras,Sao Tome & Principe-New Dobras,20.051,null,125,2021,1,2020,4,12,31
2020-12-31,Saudi Arabia,Riyal,Saudi Arabia-Riyal,3.75,null,126,2021,1,2020,4,12,31
2020-12-31,Senegal,CFA Franc,Senegal-CFA Franc,529.0,null,127,2021,1,2020,4,12,31
2020-12-31,Serbia,Dinar,Serbia-Dinar,95.8,null,128,2021,1,2020,4,12,31
2020-12-31,Seychelles,Rupee,Seychelles-Rupee,20.91,null,129,2021,1,2020,4,12,31
2020-12-31,Sierra Leone,Leone,Sierra Leone-Leone,9997.0,null,130,2021,1,2020,4,12,31
2020-12-31,Singapore,Dollar,Singapore-Dollar,1.322,null,131,2021,1,2020,4,12,31
2020-12-31,Solomon Islands,Dollar,Solomon Islands-Dollar,7.734,null,132,2021,1,2020,4,12,31
2020-12-31,Somali,Shilling,Somali-Shilling,575.0,null,133,2021,1,2020,4,12,31
2020-12-31,South,Sudanese-Pound,South-Sudanese-Pound,177.0,null,135,2021,1,2020,4,12,31
2020-12-31,South Africa,Rand,South Africa-Rand,14.673,null,134,2021,1,2020,4,12,31
2020-12-31,Sri Lanka,Rupee,Sri Lanka-Rupee,185.0,null,136,2021,1,2020,4,12,31
2020-12-31,St. Lucia,E. Caribbean Dollar,St. Lucia-E. Caribbean Dollar,2.7,null,137,2021,1,2020,4,12,31
2020-12-31,Sudan,Pound,Sudan-Pound,378.0,null,138,2021,1,2020,4,12,31
2020-12-31,Suriname,Dollar,Suriname-Dollar,14.29,null,139,2021,1,2020,4,12,31
2020-12-31,Swaziland,Langeni,Swaziland-Langeni,14.673,null,140,2021,1,2020,4,12,31
2020-12-31,Sweden,Krona,Sweden-Krona,8.172,null,141,2021,1,2020,4,12,31
2020-12-31,Switzerland,Franc,Switzerland-Franc,0.881,null,142,2021,1,2020,4,12,31
2020-12-31,Syria,Pound,Syria-Pound,1256.0,null,143,2021,1,2020,4,12,31
2020-12-31,Taiwan,Dollar,Taiwan-Dollar,28.074,null,144,2021,1,2020,4,12,31
2020-12-31,Tajikistan,Somoni,Tajikistan-Somoni,11.325,null,145,2021,1,2020,4,12,31
2020-12-31,Tanzania,Shilling,Tanzania-Shilling,2314.0,null,146,2021,1,2020,4,12,31
2020-12-31,Thailand,Baht,Thailand-Baht,29.92,null,147,2021,1,2020,4,12,31
2020-12-31,Timor,Leste-Dili,Timor-Leste-Dili,1.0,null,148,2021,1,2020,4,12,31
2020-12-31,Togo,CFA Franc,Togo-CFA Franc,529.0,null,149,2021,1,2020,4,12,31
2020-12-31,Tonga,Pa'anga,Tonga-Pa'anga,2.198,null,150,2021,1,2020,4,12,31
2020-12-31,Trinidad & Tobago,Dollar,Trinidad & Tobago-Dollar,6.698,null,151,2021,1,2020,4,12,31
2020-12-31,Tunisia,Dinar,Tunisia-Dinar,2.683,null,152,2021,1,2020,4,12,31
2020-12-31,Turkey,New Lira,Turkey-New Lira,7.424,null,153,2021,1,2020,4,12,31
2020-12-31,Turkmenistan,New Manat,Turkmenistan-New Manat,3.491,null,154,2021,1,2020,4,12,31
2020-12-31,Uganda,Shilling,Uganda-Shilling,3649.0,null,155,2021,1,2020,4,12,31
2020-12-31,Ukraine,Hryvnia,Ukraine-Hryvnia,28.3,null,156,2021,1,2020,4,12,31
2020-12-31,United Arab Emirates,Dirham,United Arab Emirates-Dirham,3.673,null,157,2021,1,2020,4,12,31
2020-12-31,United Kingdom,Pound,United Kingdom-Pound,0.732,null,158,2021,1,2020,4,12,31
2020-12-31,Uruguay,Peso,Uruguay-Peso,42.14,null,159,2021,1,2020,4,12,31
2020-12-31,Uzbekistan,Som,Uzbekistan-Som,10471.92,null,160,2021,1,2020,4,12,31
2020-12-31,Vanuatu,Vatu,Vanuatu-Vatu,106.23,null,161,2021,1,2020,4,12,31
2020-12-31,Venezuela,Bolivar Soberano,Venezuela-Bolivar Soberano,1496565.185,null,162,2021,1,2020,4,12,31
2020-12-31,Venezuela,Fuerte (OLD),Venezuela-Fuerte (OLD),248832.0,null,163,2021,1,2020,4,12,31
2020-12-31,Vietnam,Dong,Vietnam-Dong,23070.0,null,164,2021,1,2020,4,12,31
2020-12-31,Western Samoa,Tala,Western Samoa-Tala,2.444,null,165,2021,1,2020,4,12,31
2020-12-31,Yemen,Rial,Yemen-Rial,480.0,null,166,2021,1,2020,4,12,31
2020-12-31,Zambia,New Kwacha,Zambia-New Kwacha,21.14,null,167,2021,1,2020,4,12,31
2020-12-31,Zimbabwe,RTGS,Zimbabwe-RTGS,79.742,null,168,2021,1,2020,4,12,31
